Algoritmo,Melhor Valor,Valor Médio,Desvio Padrão,Tempo Médio (s),Taxa de Sucesso
GA,2119.064218232822,2115.6840003265297,4.424477192612377,0.5290136257807414,1.0
ACO,2119.064218232822,2119.064218232822,0.0,1.7929169575373332,1.0
PSO,2107.424726811242,2078.898841346769,15.483966374554528,0.30023866494496665,1.0
CS,1999.8563179042512,1906.7402863192435,30.57070054972927,0.3889047145843506,1.0
